,Unnamed: 0,title,publication_year,title_link,authors,author_href,content
46,46,Gaussian Process Emulation of Spatio-temporal Outputs of a 2D Inland Flood Model,['15 Oct 2022'],https://pureportal.coventry.ac.uk/en/publications/gaussian-process-emulation-of-spatio-temporal-outputs-of-a-2d-inl,"['Donnelly, J.', 'Chatrabgoun, O.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/james-donnelly', 'https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']","The computational limitations of complex numerical models have led to adoption of statistical emulators across a variety of problems in science and engineering disciplines to circumvent the high computational costs associated with numerical simulations. In flood modelling, many hydraulic and hydrodynamic numerical models, especially when operating at high spatiotemporal resolutions, have prohibitively high computational costs for tasks requiring the instantaneous generation of very large numbers of simulation results. This study examines the appropriateness and robustness of Gaussian Process (GP) models to emulate the results from a hydraulic inundation model. The developed GPs produce real-time predictions based on the simulation output from LISFLOOD-FP numerical model. An efficient dimensionality reduction scheme is developed to tackle the high dimensionality of the output space and is combined with the GPs to investigate the predictive performance of the proposed emulator for estimation of the inundation depth. The developed GP-based framework is capable of robust and straightforward quantification of the uncertainty associated with the predictions, without requiring additional model evaluations and simulations. Further, this study explores the computational advantages of using a GP-based emulator over alternative methodologies such as neural networks, by undertaking a comparative analysis. For the case study data presented in this paper, the GP model was found to accurately reproduce water depths and inundation extent by classification and produce computational speedups of approximately 10,000 times compared with the original simulator, and 80 times for a neural network-based emulator."
47,47,Impact Evaluation of Solar Photovoltaic Electrification: Indigenous Community Case Study in Brazilian Amazon,['14 Apr 2022'],https://pureportal.coventry.ac.uk/en/publications/impact-evaluation-of-solar-photovoltaic-electrification-indigenou,[],[],"Despite efforts to promote universal access to electrification, the Brazilian Amazon basin has around 82,000 families without electricity. The basin is huge, with few roads, many rivers, and conservative areas, which is an enormous challenge in terms of logistics and electrification costs. This paper describes a case study at the Nova Esperança community site in the Cuieiras River, Brazil. The community received stand-alone solar photovoltaic systems in 2018 and 2019. The process started with a survey and finished with an interview with each dweller that received a 975 W and 2-day autonomy photovoltaic system. A monitoring system was developed and deployed, and weather monitoring was performed to evaluate the impact of high temperatures on the equipment. The community does not have cell phone coverage and it is far from the main cities. We claim that the model created and adopted in the case study has interesting outcomes, even considering a small budget. Some houses, after 1 year of deployment, had their electrical demand rise by 300%, and 50% improved their income. We estimate the number of greenhouse gases annually avoided after electrification, replacing the consumed fossil fuel. The project also estimates the expenditure on energy sources that residents used due to the lack of electricity, which they stopped doing after electrification. The avoided expense can cover maintenance costs over the years. The goals of the SDG that were covered by the project are good health and well-being, accessible and clean energy, sustainable cities and communities, combating climate change, and partnerships for the goals."
48,48,Incorporating forecasting and peer-to-peer negotiation frameworks into a distributed model predictive control approach for meshed electric networks,['1 Sep 2022'],https://pureportal.coventry.ac.uk/en/publications/incorporating-forecasting-and-peer-to-peer-negotiation-frameworks,"['Gaura, E.']",['https://pureportal.coventry.ac.uk/en/persons/elena-gaura'],"The continuous integration of renewable energy sources into power networks is causing a paradigm shift in energy generation and distribution with regard to trading and control. The intermittent nature of renewable sources affects the pricing of energy sold or purchased. The networks are subject to operational constraints, voltage limits at each node, rated capacities for the power electronic devices, and current bounds for distribution lines. These economic and technical constraints, coupled with intermittent renewable injection, may pose a threat to system stability and performance. In this article, we propose a novel holistic approach to energy trading composed of a distributed predictive control framework to handle physical interactions, i.e., voltage constraints and power dispatch, together with a negotiation framework to determine pricing policies for energy transactions. We study the effect of forecasting generation and consumption on the overall network's performance and market behaviors. We provide a rigorous convergence analysis for both the negotiation framework and the distributed control. Finally, we assess the impact of forecasting in the proposed system with the aid of testing scenarios."
49,49,Kac-Rice formulas and the number of solutions of parametrized systems of polynomial equations,['11 Aug 2022'],https://pureportal.coventry.ac.uk/en/publications/kac-rice-formulas-and-the-number-of-solutions-of-parametrized-sys,"['Sadeghimanesh, A.']",['https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh']," Kac-Rice formulas express the expected number of elements a fiber of a random field has in terms of a multivariate integral. We consider here parametrized systems of polynomial equations that are linear in enough parameters, and provide a Kac-Rice formula for the expected number of solutions of the system when the parameters follow continuous distributions. Combined with Monte Carlo integration, we apply the formula to partition the parameter region according to the number of solutions or find a region in parameter space where the system has the maximal number of solutions. The motivation stems from the study of steady states of chemical reaction networks and gives new tools for the open problem of identifying the parameter region where the network has at least two positive steady states. We illustrate with numerous examples that our approach successfully handles a larger number of parameters than exact methods. "
50,50,Levelwise construction of a single cylindrical algebraic cell,['25 Nov 2022'],https://pureportal.coventry.ac.uk/en/publications/levelwise-construction-of-a-single-cylindrical-algebraic-cell,"['England, M.']",['https://pureportal.coventry.ac.uk/en/persons/matthew-england'],"Satisfiability Modulo Theories (SMT) solvers check the satisfiability of quantifier-free first-order logic formulas. We consider the theory of non-linear real arithmetic where the formulae are logical combinations of polynomial constraints. Here a commonly used tool is the Cylindrical Algebraic Decomposition (CAD) to decompose real space into cells where the constraints are truth-invariant through the use of projection polynomials.pAn improved approach is to repackage the CAD theory into a search-based algorithm: one that guesses sample points to satisfy the formula, and generalizes guesses that conflict constraints to cylindrical cells around samples which are avoided in the continuing search. Such an approach can lead to a satisfying assignment more quickly, or conclude unsatisfiability with fewer cells. A notable example of this approach is Jovanović and de Moura's NLSAT algorithm. Since these cells are produced locally to a sample we might need fewer projection polynomials than the traditional CAD projection. The original NLSAT algorithm reduced the set a little; while Brown's single cell construction reduced it much further still. However, the shape and size of the cell produced depends on the order in which the polynomials are considered.pThis paper proposes a method to construct such cells levelwise, i.e. built level-by-level according to a variable ordering. We still use a reduced number of projection polynomials, but can now consider a variety of different reductions and use heuristics to select the projection polynomials in order to optimise the shape of the cell under construction. We formulate all the necessary theory as a proof system: while not a common presentation for work in this field, it allows an elegant decoupling of heuristics from the algorithm and its proof of correctness."
51,51,Leveraging Arabic sentiment classification using an enhanced CNN-LSTM approach and effective Arabic text preparation,['Nov 2022'],https://pureportal.coventry.ac.uk/en/publications/leveraging-arabic-sentiment-classification-using-an-enhanced-cnn-,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"The high variety in the forms of the Arabic words creates significant complexity related challenges in Natural Language Processing (NLP) tasks for Arabic text. These challenges can be dealt with by using different techniques for semantic representation, such as word embedding methods. In addition, approaches for reducing the diversity in Arabic morphologies can also be employed, for example using appropriate word normalisation for Arabic texts. Deep learning has proven to be very popular in solving different NLP tasks in recent years as well. This paper proposes an approach that combines Convolutional Neural Networks (CNNs) with Long Short-Term Memory (LSTM) networks to improve sentiment classification, by excluding the max-pooling layer from the CNN. This layer reduces the length of generated feature vectors after convolving the filters on the input data. As such, the LSTM networks will receive well-captured vectors from the feature maps. In addition, the paper investigated different effective approaches for preparing and representing the text features in order to increase the accuracy of Arabic sentiment classification."
52,52,LIFT: lncRNA identification and function-prediction tool,['17 Jan 2022'],https://pureportal.coventry.ac.uk/en/publications/lift-lncrna-identification-and-function-prediction-tool,"['Shuttleworth, J.', 'England, M.']","['https://pureportal.coventry.ac.uk/en/persons/james-shuttleworth', 'https://pureportal.coventry.ac.uk/en/persons/matthew-england']","Long non-coding RNAs (lncRNAs) are a class of non-coding RNAs which play a significant role in several biological processes. Accurate identification and sub-classification of lncRNAs is crucial for exploring their characteristic functions in the genome as most coding potential computation (CPC) tools fail to accurately identify, classify and predict their biological functions in plant species. In this study, a novel computational framework called LncRNA identification and function prediction tool (LIFT) has been developed, which implements least absolute shrinkage and selection operator (LASSO) optimisation and iterative random forests classification for selection of optimal features, a novel position-based classification (PBC) method for sub-classifying lncRNAs into different classes, and a Bayesian-based function prediction approach for annotating lncRNA transcripts. Using LASSO, LIFT selected 31 optimal features and achieved a 15-30% improvement in the prediction accuracy on plant species when evaluated against state-of-the-art CPC tools. Using PBC, LIFT successfully identified the intergenic and antisense transcripts with greater accuracy in the A. thaliana and Z. mays datasets."
53,53,Machine Learning for Computer Algebra,['2022'],https://pureportal.coventry.ac.uk/en/publications/machine-learning-for-computer-algebra,"['Barket, R.', 'del Río, T.', 'England, M.']","['https://pureportal.coventry.ac.uk/en/persons/rashid-barket', 'https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano', 'https://pureportal.coventry.ac.uk/en/persons/matthew-england']","Long non-coding RNAs (lncRNAs) are a class of non-coding RNAs which play a significant role in several biological processes. Accurate identification and sub-classification of lncRNAs is crucial for exploring their characteristic functions in the genome as most coding potential computation (CPC) tools fail to accurately identify, classify and predict their biological functions in plant species. In this study, a novel computational framework called LncRNA identification and function prediction tool (LIFT) has been developed, which implements least absolute shrinkage and selection operator (LASSO) optimisation and iterative random forests classification for selection of optimal features, a novel position-based classification (PBC) method for sub-classifying lncRNAs into different classes, and a Bayesian-based function prediction approach for annotating lncRNA transcripts. Using LASSO, LIFT selected 31 optimal features and achieved a 15-30% improvement in the prediction accuracy on plant species when evaluated against state-of-the-art CPC tools. Using PBC, LIFT successfully identified the intergenic and antisense transcripts with greater accuracy in the A. thaliana and Z. mays datasets."
54,54,Markov Chain Monte Carlo-Based Estimation of Stress–Strength Reliability Parameter for Generalized Linear Failure Rate Distributions,['2022'],https://pureportal.coventry.ac.uk/en/publications/markov-chain-monte-carlo-based-estimation-of-stressstrength-relia,"['Daneshkhah, A.']",['https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah'],"This paper provides Bayesian and classical inference of Stress–Strength reliability parameter, [Formula: see text], where both [Formula: see text] and [Formula: see text] are independently distributed as 3-parameter generalized linear failure rate (GLFR) random variables with different parameters. Due to importance of stress–strength models in various fields of engineering, we here address the maximum likelihood estimator (MLE) of [Formula: see text] and the corresponding interval estimate using some efficient numerical methods. The Bayes estimates of R are derived, considering squared error loss functions. Because the Bayes estimates could not be expressed in closed forms, we employ a Markov Chain Monte Carlo procedure to calculate approximate Bayes estimates. To evaluate the performances of different estimators, extensive simulations are implemented and also real datasets are analyzed."
55,55,"Matrix decomposition by transforming the unit sphere to an Ellipsoid through Dilation, Rotation and Shearing",['19 Oct 2022'],https://pureportal.coventry.ac.uk/en/publications/matrix-decomposition-by-transforming-the-unit-sphere-to-an-ellips,"['Sadeghimanesh, A.']",['https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh'],"There are various decompositions of matrices in the literature such as lower-upper, singular value and polar decompositions to name a few. In this paper we are concerned with a less standard matrix decomposition for invertible matrices of order 3 with real entries, called TRD decomposition. In this decomposition an invertible matrix is written as product of three matrices corresponding to a shear, a rotation and a dilation map that transform the unit sphere to an ellipsoid. The reason of our interest is the geometric visualization of this decomposition. We also implemented an algorithm to compute this decomposition both in Maple and Matlab."
56,56,Minimizing Age of Information in Multi-hop Energy-Harvesting Wireless Sensor Network,['9 Aug 2022'],https://pureportal.coventry.ac.uk/en/publications/minimizing-age-of-information-in-multi-hop-energy-harvesting-wire,"['Benkhelifa, F.']",['https://pureportal.coventry.ac.uk/en/persons/fatma-benkhelifa'],"Age of information (AoI), a metric measuring the information freshness, has drawn increased attention due to its importance in monitoring applications in which nodes send time-stamped status updates to interested recipients, and timely updates about phenomena are important. In this work, we consider the AoI minimization scheduling problem in multi-hop energy harvesting(EH) wireless sensor networks (WSNs). We design the generation time of updates for nodes and develop transmission schedules under both protocol and physical interference models, aiming at achieving minimum peak AoI and average AoI among all nodes for a given time duration. We prove that it is an NP-Hard problem and propose an energy-adaptive, distributed algorithm called MAoIG. We derive its theoretical upper bounds for the peak and average AoI and a lower bound for peak AoI. The numerical results validate that MAoIG outperforms all of the baseline schemes in all scenarios and that the experimental results tightly track the theoretical upper bound optimal solutions while the lower bound tightness decreases with the number of nodes."
57,57,Monte Carlo Simulation of Stochastic Differential Equation to Study Information Geometry,['12 Aug 2022'],https://pureportal.coventry.ac.uk/en/publications/monte-carlo-simulation-of-stochastic-differential-equation-to-stu,"['Thiruthummal, A. A.', 'Kim, E.']","['https://pureportal.coventry.ac.uk/en/persons/abhiram-thiruthummal', 'https://pureportal.coventry.ac.uk/en/persons/e-j-kim']","Information Geometry is a useful tool to study and compare the solutions of a Stochastic Differential Equations (SDEs) for non-equilibrium systems. As an alternative method to solving the Fokker−Planck equation, we propose a new method to calculate time-dependent probability density functions (PDFs) and to study Information Geometry using Monte Carlo (MC) simulation of SDEs. Specifically, we develop a new MC SDE method to overcome the challenges in calculating a time-dependent PDF and information geometric diagnostics and to speed up simulations by utilizing GPU computing. Using MC SDE simulations, we reproduce Information Geometric scaling relations found from the Fokker−Planck method for the case of a stochastic process with linear and cubic damping terms. We showcase the advantage of MC SDE simulation over FPE solvers by calculating unequal time joint PDFs. For the linear process with a linear damping force, joint PDF is found to be a Gaussian. In contrast, for the cubic process with a cubic damping force, joint PDF exhibits a bimodal structure, even in a stationary state. This suggests a finite memory time induced by a nonlinear force. Furthermore, several power-law scalings in the characteristics of bimodal PDFs are identified and investigated."
58,58,More than faith - Muslim-heritage children in care: Strategic Briefing,['31 May 2022'],https://pureportal.coventry.ac.uk/en/publications/more-than-faith-muslim-heritage-children-in-care-strategic-briefi,"['Halford, A.', 'Cheruvallil-Contractor, S.']","['https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor']","This briefing aims to support senior managers in meeting the needs of Muslim-heritage children and young people in care. Although it is aimed at senior leaders and managers, the content is of relevance to anyone working with Muslim-heritage children and young people.pThe briefing draws upon research and illustrative case examples, and comprises the following sections:pIntroduction and terminologypDiversity of the Muslim faithpThe importance of cultural identity and lived religionpChildren and young people’s intersectional identitiespOvercoming challenges to meet the needs of Muslim-heritage children and young peoplepHow can professionals support Muslim-heritage children and young people in care, and their carers?"
59,59,Multi-phase locking value: A generalized method for determining instantaneous multi-frequency phase coupling,['Apr 2022'],https://pureportal.coventry.ac.uk/en/publications/multi-phase-locking-value-a-generalized-method-for-determining-in-2,"['He, F.']",['https://pureportal.coventry.ac.uk/en/persons/fei-he'],"Background: Many physical, biological and neural systems behave as coupled oscillators, with characteristic phase coupling across different frequencies. Methods such as n:m phase locking value (where two coupling frequencies are linked as: mfp1p=nfp2p) and bi-phase locking value have previously been proposed to quantify phase coupling between two resonant frequencies (e.g. f,2f/3) and across three frequencies (e.g. fp1p,fp2p,fp1p+fp2p), respectively. However, the existing phase coupling metrics have their limitations and limited applications. They cannot be used to detect or quantify phase coupling across multiple frequencies (e.g. fp1p,fp2p,fp3p,fp4p,fp1p+fp2p+fp3p-fp4p), or coupling that involves non-integer multiples of the frequencies (e.g. fp1p,fp2p,2fp1p/3+fp2p/3). New methods: To address the gap, this paper proposes a generalized approach, named multi-phase locking value (M-PLV), for the quantification of various types of instantaneous multi-frequency phase coupling. Different from most instantaneous phase coupling metrics that measure the simultaneous phase coupling, the proposed M-PLV method also allows the detection of delayed phase coupling and the associated time lag between coupled oscillators. Results: The M-PLV has been tested on cases where synthetic coupled signals are generated using white Gaussian signals, and a system comprised of multiple coupled Rössler oscillators, as well as a human subject dataset. Results indicate that the M-PLV can provide a reliable estimation of the time window and frequency combination where the phase coupling is significant, as well as a precise determination of time lag in the case of delayed coupling. This method has the potential to become a powerful new tool for exploring phase coupling in complex nonlinear dynamic systems."
60,60,New heuristic to choose a cylindrical algebraic decomposition variable ordering motivated by complexity analysis,['11 Aug 2022'],https://pureportal.coventry.ac.uk/en/publications/new-heuristic-to-choose-a-cylindrical-algebraic-decomposition-var,"['del Río, T.', 'England, M.']","['https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano', 'https://pureportal.coventry.ac.uk/en/persons/matthew-england']", It is well known that the variable ordering can be critical to the efficiency or even tractability of the cylindrical algebraic decomposition (CAD) algorithm. We propose new heuristics inspired by complexity analysis of CAD to choose the variable ordering. These heuristics are evaluated against existing heuristics with experiments on the SMT-LIB benchmarks using both existing performance metrics and a new metric we propose for the problem at hand. The best of these new heuristics chooses orderings that lead to timings on average 17% slower than the virtual-best: an improvement compared to the prior state-of-the-art which achieved timings 25% slower. 
61,61,Off the boil? The challenges of monitoring cooking behaviour in refugee settlements,['22 Aug 2022'],https://pureportal.coventry.ac.uk/en/publications/off-the-boil-the-challenges-of-monitoring-cooking-behaviour-in-re,"['Halford, A.', 'Gaura, E.', 'Brusey, J.', 'Nixon, J.']","['https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'https://pureportal.coventry.ac.uk/en/persons/james-brusey', 'https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon']","To address the need for improved access to energy and meet the United Nations Clean Energy Challenge (2019), humanitarian agencies require robust, valid, and meaningful data that documents the everyday energy practices of displaced people. Collecting data through sensor monitoring is one way of providing quality energy data that will aid humanitarian actors in designing and delivering sustainable affordable energy solutions. Using the case of the design and deployment of 20 stove use monitors (SUM) in Kigeme refugee camp in Rwanda, this paper discusses the benefits and limitations of collecting data on cookstove usage using wireless sensors in refugee settlements., Central to the discussion is the value of reflexivity or critical reflection to uncover significant knowledge gaps that can apply more generally to the problem of designing and deploying sensor systems for the displaced setting. If sensor monitoring systems are to collect data that aid appropriate energy planning and support technology development in the humanitarian sector, we contend improvements in sensor design and deployment protocols are needed to accommodate the displaced setting's cultural, economic, and political complexity. These improvements include the uptake of sensor monitoring design that embeds ethical, progressive, and inclusive protocols when working in the displaced setting."
62,62,On the impact of prior distributions on efficiency of sparse Gaussian process regression,['26 Jun 2022'],https://pureportal.coventry.ac.uk/en/publications/on-the-impact-of-prior-distributions-on-efficiency-of-sparse-gaus,"['Chatrabgoun, O.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']","Gaussian process regression (GPR) is a kernel-based learning model, which unfortunately suffers from computational intractability for irregular domain and large datasets due to the full kernel matrix. In this paper, we propose a novel method to produce a sparse kernel matrix using the compact support radial kernels (CSRKs) to efficiently learn the GPR from large datasets. The CSRKs can effectively avoid the ill-conditioned and full kernel matrix during GPR training and prediction, consequently reducing computational costs and memory requirements. In practice, the interest in CSRKs waned slightly as it became evident that, there is a trade-off principle (conflict between accuracy and sparsity) for compactly supported kernels. Hence, when using kernels with compact support, during GPR training, the main focus will be on providing a high level of accuracy. In this case, the advantage of achieving a sparse covariance matrix for CSRKs will almost disappear, as we will see in the numerical results. This trade-off has led authors to search for an “optimal” value of the scale parameter. Accordingly, by selecting the suitable priors on the kernel hyperparameters, and simply estimating the hyperparameters using a modified version of the maximum likelihood estimation (MLE), the GPR model derived from the CSRKs yields maximal accuracy while still maintaining a sparse covariance matrix. In fact, in GPR training, modified version of the MLE will be proportional to the product of MLE and a given suitable prior distribution for the hyperparameters that provides an efficient method for learning. The misspecification of prior distributions and their impact on the predictability of the sparse GPR models are also comprehensively investigated using several empirical studies. The proposed new approach is applied to some irregular domains with noisy test functions in 2D data sets in a comparative study. We finally investigate the effect of prior on the predictability of GPR models based on the real dataset. The derived results suggest the proposed method leads to more sparsity and well-conditioned kernel matrices in all cases."
63,63,On the Implementation of Cylindrical Algebraic Coverings for Satisfiability Modulo Theories Solving,['10 Feb 2022'],https://pureportal.coventry.ac.uk/en/publications/on-the-implementation-of-cylindrical-algebraic-coverings-for-sati,"['England, M.']",['https://pureportal.coventry.ac.uk/en/persons/matthew-england'],"We recently presented cylindrical algebraic coverings: a method based on the theory of cylindrical algebraic decomposition and suited for nonlinear real arithmetic theory reasoning in Satisfiability Modulo Theories solvers. We now present a more careful implementation within cvc5, discuss some implementation details, and highlight practical benefits compared to previous approaches, i.e., NLSAT and incremental CAD. We show how this new implementation simplifies proof generation for nonlinear real arithmetic problems in cvc5 and announce some very encouraging experimental results that position cvc5 at the very front of currently available SMT solvers for QF_NRA."
64,64,On the Scalability of Duty-Cycled LoRa Networks with Imperfect SF Orthogonality,['1 Nov 2022'],https://pureportal.coventry.ac.uk/en/publications/on-the-scalability-of-duty-cycled-lora-networks-with-imperfect-sf,"['Benkhelifa, F.']",['https://pureportal.coventry.ac.uk/en/persons/fatma-benkhelifa'],"This letter uses stochastic geometry and queuing theory to study the scalability of long-range (LoRa) networks, accounting for duty cycling restrictions and imperfect spreading factor (SFs) orthogonality. The scalability is characterised by the joint boundaries of device density and traffic intensity per device. Novel cross-correlation factors are used to quantify imperfect SF-orthogonality. Our results show that a proper characterisation of LoRa orthogonality extends the scalability of the network. They also highlight that for low/medium densities decreasing the SF extends the spanned spectrum of sensing applications characterised by their traffic requirements (i.e., sensing rate). However, for high density (>104 nodes/Km2), the Pareto frontiers converge to a stability limit governed by the SF allocation scheme and the predefined capture thresholds. The results further evince the importance of capturing threshold distribution among the SFs to mitigate the unfair latency."
65,65,Parallel multi-swarm cooperative particle swarm optimization for protein–ligand docking and virtual screening,['30 May 2022'],https://pureportal.coventry.ac.uk/en/publications/parallel-multi-swarm-cooperative-particle-swarm-optimization-for-,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"Background: pA high-quality docking method tends to yield multifold gains with half pains for the new drug development. Over the past few decades, great efforts have been made for the development of novel docking programs with great efficiency and intriguing accuracy. AutoDock Vina (Vina) is one of these achievements with improved speed and accuracy compared to AutoDock4. Since it was proposed, some of its variants, such as PSOVina and GWOVina, have also been developed. However, for all these docking programs, there is still large room for performance improvement. pResults:pIn this work, we propose a parallel multi-swarm cooperative particle swarm model, in which one master swarm and several slave swarms mutually cooperate and co-evolve. Our experiments show that multi-swarm programs possess better docking robustness than PSOVina. Moreover, the multi-swarm program based on random drift PSO can achieve the best highest accuracy of protein–ligand docking, an outstanding enrichment effect for drug-like activate compounds, and the second best AUC screening accuracy among all the compared docking programs, but with less computation consumption than most of the other docking programs. pConclusion:pThe proposed multi-swarm cooperative model is a novel algorithmic modeling suitable for protein–ligand docking and virtual screening. Owing to the existing coevolution between the master and the slave swarms, this model in parallel generates remarkable docking performance. The source code can be freely downloaded from https://github.com/li-jin-xing/MPSOVina."
66,66,Parts of Speech Tagging in NLP- an Investigation on Runtime Optimization with Quantum Formulation and ZX Calculus,['10 Mar 2022'],https://pureportal.coventry.ac.uk/en/publications/parts-of-speech-tagging-in-nlp-an-investigation-on-runtime-optimi,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"This paper presents an optimized formulation of the parts of speech tagging in Natural Language Processing (NLP) with a quantum computing approach, and it further demonstrates the quantum gate-level runnable optimization with ZX-calculus, keeping the implementation target in the context of Noisy Intermediate Scale Quantum Systems (NISQ). The discussed quantum formulation exhibits quadratic speed up over the classical counterpart and further demonstrates the implementable optimization with the help of ZX calculus postulates. "
67,67,Polynomial Superlevel Set Representation of the Multistationarity Region of Chemical Reaction Networks,['27 Sep 2022'],https://pureportal.coventry.ac.uk/en/publications/polynomial-superlevel-set-representation-of-the-multistationarity,"['Sadeghimanesh, A.', 'England, M.']","['https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh', 'https://pureportal.coventry.ac.uk/en/persons/matthew-england']","In this paper we introduce a new representation for the multistationarity region of a reaction network, using polynomial superlevel sets. The advantages of using this polynomial superlevel set representation over the formerly existing representations (cylindrical algebraic decompositions, numeric sampling, rectangular division) is discussed, and algorithms to compute this new representation are provided. The results are given for the general mathematical formalism of a parametric system of equations and therefore can be used in other application areas."
68,68,Predicting Primary Sequence-Based Protein-Protein Interactions Using a Mercer Series Representation of Nonlinear Support Vector Machine,['1 Dec 2022'],https://pureportal.coventry.ac.uk/en/publications/predicting-primary-sequence-based-protein-protein-interactions-us,"['Chatrabgoun, O.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']","The prediction of protein-protein interactions (PPIs) is essential to understand the cellular processes from a medical perspective. Among the various machine learning techniques, kernel-based Support Vector Machine (SVM) has been commonly employed to discriminate between interacting and non-interacting protein pairs. The main drawback of employing the kernel-based SVM to datasets with many features, such as the primary sequence-based protein-protein dataset, is the significant increase in computational time of training stage. This increase in computational time is mainly due to the presence of the kernel in solving the quadratic optimisation problem (QOP) involved in nonlinear SVM. In order to fix this issue, we propose a novel and efficient computational algorithm by approximating the kernel-based SVM using a low-rank truncated Mercer series as well as desired. As a result, the QOP for the approximated kernel-based SVM will be very tractable in the sense that there is a significant reduction in computational time of training and validating stages. We illustrate the novelty of the proposed method by predicting the PPIs of ""S. Cerevisiae” where the protein features extracted using the multiscale local descriptor (MLD), and then we compare the predictive performance of the proposed low-rank approximation with the existing methods. Finally, the new method results in significant reduction in computational time for predicting PPIs with almost as accuracy as kernel-based SVM"
69,69,Predicting the Public Adoption of Connected and Autonomous Vehicles,['1 Feb 2022'],https://pureportal.coventry.ac.uk/en/publications/predicting-the-public-adoption-of-connected-and-autonomous-vehicl,"['Ahmed, M. L.', 'Palade, V.']","['https://pureportal.coventry.ac.uk/en/persons/mohammed-ahmed', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade']","Connected and Autonomous Vehicles (CAV) are gaining increasing importance due to the current needs of modern society for better mobility and societal impact. CAV development and adoption will be driven by Artificial Intelligence (AI) and 5G/6G technologies which will offer increased speed, reduced latency and ubiquity. However, the public is concerned with the concept of handing total control of driving to vehicles. These concerns will inhibit the adoption of CAVs when they become available to the public. In this paper, we investigated user adoption of CAVs by collecting quantitative data from potential users based on their preference and inherent concerns towards adoption. We conducted a statistical analysis and applied machine learning techniques to predict the user adoption for CAVs. Our results show that several machine learning approaches were effective in forecasting user adoption for CAVs. We have employed Neural Networks, Random Forest, Naïve Bayes and Fuzzy Logic based models and achieved accuracies of 81.76%, 83.63%, 82.15% and 86.38, respectively, in forecasting the public adoption of CAV."
70,70,Privacy Enhancing Technologies (PETs) for Connected Vehicles in Smart Cities,['Oct 2022'],https://pureportal.coventry.ac.uk/en/publications/privacy-enhancing-technologies-pets-for-connected-vehicles-in-sma,"['Mitchell, F.']",['https://pureportal.coventry.ac.uk/en/persons/faye-mitchell'],"Many Experts believe that the Internet of Things (IoT) is a new revolution in technology that has brought many benefits for our organizations, businesses, and industries. However, information security and privacy protection are important challenges particularly for smart vehicles in smart cities that have attracted the attention of experts in this domain. Privacy Enhancing Technologies (PETs) endeavor to mitigate the risk of privacy invasions, but the literature lacks a thorough review of the approaches and techniques that support individuals' privacy in the connection between smart vehicles and smart cities. This gap has stimulated us to conduct this research with the main goal of reviewing recent privacy-enhancing technologies, approaches, taxonomy, challenges, and solutions on the application of PETs for smart vehicles in smart cities. The significant aspect of this study originates from the inclusion of data-oriented and process-oriented privacy protection. This research also identifies limitations of existing PETs, complementary technologies, and potential research directions."
